ポジション,属性,パラメータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,フォーカスDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,工藤 駆,1,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
835,工藤 駆,2,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
836,柿川 実,1,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
836,柿川 実,2,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
837,賀夢 健太郎,1,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
837,賀夢 健太郎,2,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
838,高原 竜也,1,火,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
838,高原 竜也,2,火,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
839,水仙 稔基,1,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
839,水仙 稔基,2,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
840,新見 主税,1,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
840,新見 主税,2,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
841,合方 調,1,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
841,合方 調,2,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
842,守久 要,1,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
842,守久 要,2,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
843,高城 貞人,1,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
843,高城 貞人,2,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
844,大石 良雄,1,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
844,大石 良雄,2,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
845,大凧 昇,1,林,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
845,大凧 昇,2,林,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
846,子鹿 森也,1,山,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
846,子鹿 森也,2,山,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
847,葵 健太,1,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
847,葵 健太,2,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
848,寿 太郎,1,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
848,寿 太郎,2,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
849,浦片 佳彦,1,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
849,浦片 佳彦,2,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
850,稲子 芳信,1,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
850,稲子 芳信,2,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
851,南瓜 敬作,1,火,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
851,南瓜 敬作,2,火,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
852,橋口 慎之介,1,火,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
852,橋口 慎之介,2,火,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
853,海堂 脩平,1,風,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
853,海堂 脩平,2,風,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
854,高沢 一樹,1,林,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
854,高沢 一樹,2,林,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
855,岩田 剛基,1,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
855,岩田 剛基,2,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
856,院野 翔太,1,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
856,院野 翔太,2,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
857,坂下 雅功,1,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
857,坂下 雅功,2,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
858,玉月 瞬,1,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
858,玉月 瞬,2,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
859,水上 渡,1,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
859,水上 渡,2,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
860,五味 一樹,1,風,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
860,五味 一樹,2,風,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
861,二瓶 晶,1,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
861,二瓶 晶,2,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
862,滝沢 敏也,1,山,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
862,滝沢 敏也,2,山,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
863,清原 光良,1,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
863,清原 光良,2,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
864,針辻 大五郎,1,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
864,針辻 大五郎,2,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
865,唐 拓郎,1,山,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
865,唐 拓郎,2,山,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
866,砂川 碧海,1,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
866,砂川 碧海,2,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
867,品川 隆博,1,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
867,品川 隆博,2,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
868,沼口 司,1,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
868,沼口 司,2,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
869,岡野 一輝,1,山,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
869,岡野 一輝,2,山,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
870,孫吾 乱,1,火,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
870,孫吾 乱,2,火,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
871,山中 圭,1,山,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
871,山中 圭,2,山,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
872,布原 ヒロ,1,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
872,布原 ヒロ,2,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
873,兵庫 陽明,1,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
873,兵庫 陽明,2,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
874,鉄野 洋平,1,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
874,鉄野 洋平,2,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
875,今川 義基,1,火,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
875,今川 義基,2,火,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
876,鉄山 啓作,1,風,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
876,鉄山 啓作,2,風,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
877,真野 有起哉,1,火,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
877,真野 有起哉,2,火,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
878,鯉真 精児,1,山,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
878,鯉真 精児,2,山,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
879,榎戸 敦,1,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
879,榎戸 敦,2,山,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
880,青森 潤,1,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
880,青森 潤,2,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
881,川野 めだか,1,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
881,川野 めだか,2,風,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
882,広瀬 芳正,1,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
882,広瀬 芳正,2,林,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
883,定岡 堅,1,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
883,定岡 堅,2,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
884,大道 聡一,1,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
884,大道 聡一,2,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
885,野家 広貼,1,火,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
885,野家 広貼,2,火,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
886,大岡 善,1,林,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
886,大岡 善,2,林,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
887,振端 敦,1,山,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
887,振端 敦,2,山,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
888,岩淵 晃司,1,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
888,岩淵 晃司,2,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
889,大江戸 結,1,山,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
889,大江戸 結,2,山,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
890,荒川 浩正,1,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
890,荒川 浩正,2,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
891,牛原 蒼甫,1,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
891,牛原 蒼甫,2,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
892,梵天 哲士,1,林,MF,135.8,145.6,142.8,117.6,119,109.2,130.2,,,,,,,,,,,,,,,,0,897,280,354.5,326.5,236,249,247,1027,,,,,,,,,,,
892,梵天 哲士,2,林,MF,135.8,145.6,142.8,117.6,119,109.2,130.2,,,,,,,,,,,,,,,,0,897,280,354.5,326.5,236,249,247,1027,,,,,,,,,,,
893,比嘉 大樹,1,火,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
893,比嘉 大樹,2,火,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
894,オフ 斎藤,1,山,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
894,オフ 斎藤,2,山,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
895,安川 慎之介,1,火,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
895,安川 慎之介,2,火,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
896,新村 海洋,1,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
896,新村 海洋,2,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
897,堀口 将志,1,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
897,堀口 将志,2,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
898,英嶋 新士,1,風,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
898,英嶋 新士,2,風,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
899,漁火 三省,1,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
899,漁火 三省,2,風,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
900,錬山 術,1,火,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
900,錬山 術,2,火,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
901,天川 光博,1,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
901,天川 光博,2,林,FW,145.6,141.4,127.4,113.4,109.2,105,126,,,,,,,,,,,,,,,,0,866,286,340.5,305.5,222,235,239,973,,,,,,,,,,,
902,桜井 広司,1,火,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
902,桜井 広司,2,火,MF,130.2,141.4,137.2,113.4,114.8,105,126,,,,,,,,,,,,,,,,0,866,271,343,315.5,227,240,239,988,,,,,,,,,,,
903,岡山 太朗,1,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
903,岡山 太朗,2,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
904,三村 貴嶺,1,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
904,三村 貴嶺,2,林,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
905,小西 努,1,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
905,小西 努,2,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
906,永井 照生,1,風,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
906,永井 照生,2,風,DF,110.6,116.2,117.6,127.4,133,113.4,145.6,,,,,,,,,,,,,,,,0,861,226,288,318.5,260,278,272,1105,,,,,,,,,,,
907,永田 修,1,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
907,永田 修,2,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
908,亀井 慢太郎,1,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
908,亀井 慢太郎,2,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
909,羽縞 勇太,1,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
909,羽縞 勇太,2,風,MF,126,145.6,147,107.8,105,105,130.2,,,,,,,,,,,,,,,,0,865,271,355,329.5,212,235,237,949,,,,,,,,,,,
910,計良 電,1,山,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
910,計良 電,2,山,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
911,小泉 涼,1,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
911,小泉 涼,2,林,FW,154,145.6,133,107.8,105,105,116.2,,,,,,,,,,,,,,,,0,865,299,355,301.5,212,221,223,949,,,,,,,,,,,
912,発田 三郎,1,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
912,発田 三郎,2,林,GK,110.6,120.4,113.4,127.4,133,137.2,120.4,,,,,,,,,,,,,,,,0,860,230,288,301.5,260,253,247,1201,,,,,,,,,,,
913,永島 寿明,1,風,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
913,永島 寿明,2,風,GK,110.6,120.4,113.4,123.2,133,141.4,120.4,,,,,,,,,,,,,,,,0,860,230,288,303.5,256,253,243,1209,,,,,,,,,,,
914,酒田 達士,1,林,DF,106.4,110.6,107.8,133,138.6,113.4,154,,,,,,,,,,,,,,,,0,861,216,270,317.5,271,292,287,1132,,,,,,,,,,,
